"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0018","Otu0022","Otu0025","Otu0027","Otu0028","Otu0029","Otu0031","Otu0032","Otu0033","Otu0035","Otu0036","Otu0038","Otu0042","Otu0049","Otu0053","Otu0054","Otu0055","Otu0057","Otu0058","Otu0060","Otu0068","Otu0069","Otu0072","Otu0074","Otu0081","Otu0085","Otu0087","Otu0092","Otu0094","Otu0102","Otu0110","Otu0111","Otu0113","Otu0117","Otu0121","Otu0123","Otu0124","Otu0129","Otu0130","Otu0136","Otu0140","Otu0143","Otu0144","Otu0149","Otu0154","Otu0156","Otu0170","Otu0180","Otu0186","Otu0191","Otu0197","Otu0202","Otu0203","Otu0214","Otu0215","Otu0217","Otu0220","Otu0224","Otu0225","Otu0226","Otu0236","Otu0245","Otu0249","Otu0250","Otu0259","Otu0261","Otu0267","Otu0269","Otu0275","Otu0287","Otu0289","Otu0298","Otu0310","Otu0324","Otu0336","Otu0340","Otu0348","Otu0361","Otu0367","Otu0371","Otu0386","Otu0387","Otu0405","Otu0413","Otu0415","Otu0441","Otu0446","Otu0448","Otu0464","Otu0471","Otu0500","Otu0515","Otu0529","Otu0544","Otu0550","Otu0561","Otu0569","Otu0584","Otu0588","Otu0599","Otu0641","Otu0677","Otu0693","Otu0699","Otu0701","Otu0723","Otu0772","Otu0783","Otu0825","Otu0831","Otu0856","Otu0866","Otu0880","Otu0920","Otu0927","Otu0945","Otu0963","Otu0987","Otu0994","Otu0996","Otu1018","Otu1052","Otu1069","Otu1104","Otu1184","Otu1220","Otu1222","Otu1258","Otu1391","Otu1398","Otu1411","Otu1424","Otu1435","Otu1439","Otu1480","Otu1508","Otu1526","Otu1547","Otu1595","Otu1609","Otu1670","Otu1717","Otu1737","Otu1772","Otu1785","Otu1856","Otu1860","Otu1890","Otu1954","Otu2049","Otu2085","Otu2218","Otu2228","Otu2245","Otu2272","Otu2300","Otu2360","Otu2541","Otu2568","Otu2627","Otu3215","Otu3375","Otu3440","Otu3451","Otu3696","Otu3836","Otu4076","Otu4529","Otu4531","Otu4802","Otu5221","Otu5259","Otu5406","Otu5714","Otu6081","Otu6291","Otu6445","Otu7458","HDNA"
"3939-JMD-0074",951,0,2,0,2,14,0,2625,0,0,0,0,115,0,270,0,16,0,0,273,0,29,96,0,0,1,0,0,0,0,58,0,89,128,0,0,6,23,98,46,15,0,0,0,0,0,31,0,0,0,0,0,0,98,0,0,76,0,0,0,98,52,0,0,8,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,32,11,48,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08695652
"3939-JMD-0075",1471,0,3,1,1,0,0,2640,64,0,1,1,232,0,0,0,0,12,15,182,25,0,0,0,0,0,0,0,0,0,66,0,1,279,0,0,0,0,76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,74,0,18,16,0,0,0,135,0,0,0,1,0,0,0,0,1,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.54545455
"3939-JMD-0076",1877,0,6,0,6,46,0,215,538,0,0,53,1829,0,0,0,85,0,0,106,0,0,5,0,0,9,0,37,0,0,7,0,4,19,0,7,1,0,85,5,4,0,0,0,0,0,0,0,0,112,0,1,0,115,0,48,3,0,0,0,49,0,0,0,0,0,0,0,0,0,48,0,0,27,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108.3333333
"3939-JMD-0077",2255,0,12,1,12,0,1,3,0,0,298,431,0,0,2,0,83,0,12,1520,0,0,58,0,0,0,0,5,0,0,106,1,0,77,0,1,0,0,127,17,23,0,0,0,0,0,59,0,0,0,0,0,0,177,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09090909
"3939-JMD-0078",46,14,0,0,2,13,0,1363,5,0,81,303,847,85,6,0,7,0,2,29,0,0,18,0,0,0,0,1632,0,0,0,0,1,72,0,0,0,0,540,25,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,1,0,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3
"3939-JMD-0079",444,0,2,1,0,0,0,13,0,0,0,1476,916,0,8,0,1035,310,0,119,0,6,323,0,0,0,2,43,0,0,0,0,0,137,0,0,7,0,77,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,0,299,48,0,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.2608696
"3939-JMD-0080",422,0,128,9,108,15,0,1682,0,0,2,0,2253,0,16,0,59,0,1,49,0,1,8,0,0,1,9,0,0,0,195,2,7,16,0,16,0,0,1,0,31,0,0,0,0,0,1,0,0,208,0,0,0,31,0,0,0,27,0,0,0,0,0,0,7,0,0,12,0,3,0,0,0,2,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38095238
"3939-JMD-0081",2066,0,62,16,131,0,18,0,0,0,0,6,1656,0,0,0,596,0,0,410,0,0,26,0,0,36,0,0,0,0,155,7,18,23,0,19,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,7,0,39,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,153.2142857
"3939-JMD-0082",3607,0,20,29,121,294,0,0,43,0,24,21,1,0,0,0,410,0,0,270,0,1,6,0,0,39,0,0,0,0,7,45,46,101,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,3,0,7,139,2,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,6,0,19,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7142857
"3939-JMD-0083",1851,1,1,186,870,241,0,3,0,0,28,0,0,0,19,0,18,0,0,75,0,106,820,0,0,0,517,0,0,0,0,0,63,358,0,14,1,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,154,1,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.952381
